title,soldprice,solddate,bids,link
Apple iPhone 7 - 32G-Black (Fully Unlocked) A1660 (CDMA+GSM) Excellent Cond,70.46,Sold  3 Oct 2023,16 bids,https://www.ebay.co.uk/itm/225790062138?epid=15051465978&hash=item349222ee3a%3Ag%3AT5wAAOSwl-VlC6oB&amdata=enc%3AAQAIAAAA0JvZaZ06FanC8jG6yzHMHiYEF%2Bc6wWW5llS0FtGiNDxKbp%2FlPM%2FHVimKYsUhjLrVD9dE9F%2BTJgipnLuo069pFes33U873QZwPnBBTbbEY56SDOWx7fjoEH2GoXcbIne6fKI0ndmwjBpr4JRl3hw69KmmREkmh%2Bn2aM1LGkrydfFxJoaQXX%2FG917K%2ByySoU5A41MVlxI%2BsPGp0vZohVedg2c7bhH0GYfHeuwVxye5XU8HgPHw2uaJE%2BpBMPsRN%2FvMnFUwY1GF%2BytdK8zRQQxqKTQ%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
New listingApple iPhone 11 - 64GB - White (Verizon) A2111 (CDMA + GSM),184.34,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/204483997129?epid=6034218712&hash=item2f9c322dc9%3Ag%3ArwcAAOSwZOxlGyMK&amdata=enc%3AAQAIAAAAwC8xBRzodt0%2BNbkTNEiPoX3xZ8MwFMHqSBtTe1OG%2B47uqNJZP6EHarIO8CPo8geLgXP2HJIHO6FHoOXBp3P%2FYLA6s6vfrFnpccEhWHPikbYi2fNGW90vwJa86CBNTj2eKOP8AI8ayW6lTw9l7aEXlqhZ9OGXNs%2Fzvh0Mc1gU7Lw8Ngtun2jXQk0wIKCBqiuP%2B0IOpIReqVVLx18v5rlRbc%2FhbyeyOyG0DRwPMwSnFknJCjpqqTnnE10CIgC1vhfn0g%3D%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
New listingApple iPhone 11 - 64GB - Black (Verizon) A2111 (CDMA + GSM),184.34,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/204484005542?epid=27034209755&hash=item2f9c324ea6%3Ag%3AXPEAAOSwUrdlGySj&amdata=enc%3AAQAIAAAA4Ce2HeFP0DYr%2FVRpwHt5x81GEs4Sgbv5yAsR0iqnFEIAFh2iynCLB89AhR8v5Y6FGHL80gUHaAxkZzkvFOwTHj6rW88MbkVscFyn3gCt0g4MBtM5clRAPKy7zFd1uk6jo094thDgc1f3MiL1IEZjF7laNxffqd54J1V%2Bo31%2B5P%2F%2BAx6RpULev0l%2B4XBeKox4QGtIhlYFwPgFpHVAt3wL6ipQG2syQImo7wqRBYeFdQ1Gc%2FKuJwPWuho%2BKE4HBgu0iNXUyCF%2F3Sk44DfQ1SH9E64fXmbJxXcTSppiisIaPu0d%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 3GS - 8GB - Black (Unlocked) A1303 (GSM),18.43,Sold  3 Oct 2023,3 bids,https://www.ebay.co.uk/itm/394904840623?epid=99984545&hash=item5bf229a9af%3Ag%3A010AAOSw%7EkBkMIBB&amdata=enc%3AAQAIAAAA4BX82QVEEtQYuu2Rrz5IQlkvCd7IZWa1ODjK0SuR%2BtUZAM7G%2BT2DaorJ80uCL%2FsQEvxzZnKeUjbOvwuSfkFb%2FNf%2BwTxU2ChB3X37TN5Pps5p0pn3eWH20nhwZ2LvWGVE%2FticeqTuQa0tDzpNnJqm0A5N7KRoyFc81tyj1gxFdBZhRqNpq9OwoRDm958LLvXK6LIr4Ax4pEPbL7EKWq%2Bb%2FTrMbEc8ebYqMkSULXU%2FpI61GJsC42NwYRy0nh6ez%2Bdw98P4xMGefjpK12MrnBdKOnuVABEintHq62S%2Be5VZfjCZ%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 5s ME341LL/A Space Gray Dual Core Verizon 16 GB 4 Inch SmartphoneCharity item,8.6,Sold  3 Oct 2023,2 bids,https://www.ebay.co.uk/itm/166344277226?epid=22041631599&hash=item26bae43cea%3Ag%3AelYAAOSwWK5lDjl2&amdata=enc%3AAQAIAAAA4BFsfOqoFON4l4YOOitGk%2F7IVYwx3Rv4ni1%2BANT1ZxjTcexnPHXHq33vGkb5bZSoTf3agMlb9b%2Fi87CSD1sy%2B%2BKlCwDnJPbVbUwGaxyGp505fEcSDYJROBhXm5b75gSFLbjAZCykiMQlikU4GJWVHZNyXozhjSg3ILkjaOylSWeX5jGGbzJbn5O1HnfVos5DxKge2qgHVOV6faeqLbmHDfBBXm7vsnMwwGwXXe7%2B3XxSdg4UeWwJxKEhlU4LaImkep52J4bl65aezAbtzXBUuLf88vcpbaVEg50HBkH1rekO%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 8 Locked with No Password,40.97,Sold  3 Oct 2023,12 bids,https://www.ebay.co.uk/itm/175922776754?hash=item28f5d08ab2%3Ag%3ATkUAAOSwArZlA6Ht&amdata=enc%3AAQAIAAAA4JRfsYeLmbCSTa9MtXm8dkz0zar0mV8qwxG4%2FRjKxk9ImG4%2BqEOYGDr%2FNGJGlK18JhPjS7z8PbUSDC%2FwtTlVeRGBXvzfkDBsVkXydVH4PKbumxJTe%2BVQCn27ReU%2BzRbzhKPsGBGd3XaQ%2F%2F1ogd6UDeAxRJB2aR0mfSF9rgXnd%2FOXiijDJuO2ro9d8IiTL0XVPeHRbk95Bk795k0mCBfncFQ4swawOzF6V1w%2F7Z8hbUXMZG5x5kfVGS4keJvy0WosC8KxTdjnYXaJ%2F%2BGSEoZiaMCTPvuJ1E8RpwhEyTmp052k%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
"Apple iPhone 11 - 64GB - Black  (Unlocked), with original box and charging cord",208.92,Sold  3 Oct 2023,23 bids,https://www.ebay.co.uk/itm/126119162839?epid=17035818063&hash=item1d5d49b3d7%3Ag%3Avr8AAOSwlDtlF2%7Et&amdata=enc%3AAQAIAAAA4JJEMDKVyZfEPQHtI8mm0e%2F2kkKM2P8OLI%2BIhZLUbsPAJLfBEURFnnk2drXMFSeBqH4coZwxBZ1GBEizo85hFEhD2F10e0%2F3MzIy%2BSPHZznFZFaT96Or9XgXrflLxI87UtMh%2BFvKTkc%2F1vJN8OrXmcZVhTihLmYtv8go65tZK1GkVfE%2Fx0tqTv6h5XLKnXkxWtTC9Z3UO1mzhyGg1Bn%2Bj5d1LfDARrF%2BIzcgeEKQ9tzf7bzVUY6eJ1xutJa9pMPKKO7Uo1xUie9wU2iWQWFlN5KE5SsFkuK2BwQyAaH2U0AS%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone SE 3rd Gen Lot All Power On - 64GB  Realy To Go Parts Lot,54.07,Sold  3 Oct 2023,6 bids,https://www.ebay.co.uk/itm/404509190510?hash=item5e2ea0696e%3Ag%3A%7E4oAAOSwjn5lDilX&amdata=enc%3AAQAIAAAAwDVcNxhgQIiaUQ9zCIuK3SQWlSo1z%2FCmXILOX13f0UTFpRPOdO03r55Y96tUKjDGCfYuzi5vgZQF8cPzfPQ4Z7u7GZBWNFIYI2dY8eIqwciT9D%2Bl2bOd9Ph5Te5uFZ%2FurI9mP%2B2TCMJZpyuxGDQwJ6JcNVUlSA%2BZCv%2BbkXstpk2KBJtowU04hrkzuD%2BVFYP2iYK6zjFabRBe15WfjgneyGTcks1lBdgj9XIDJDsGkWbYxULPdcdPy8TRNthinYQlzg%3D%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone XR - 64GB - Black (Unlocked) A1984 (CDMA + GSM),40.97,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/374950321235?epid=13023706562&hash=item574cc7dc53%3Ag%3A2-kAAOSw8MBlCOEI&amdata=enc%3AAQAIAAAA4IaLE9CGehvUuJjwfxhZx%2FH7853y7AvljnKbiVVzZe2x8CaO9kgcoAQ2h0b3yWWA%2BHRe1efhMR46Dj7R5ixmtVbqB3nOOecH81i7tdIxmoL1FRZCRA%2FQCAT%2B4hV0F4SDGKIfQIC6gbaOqYu051kmFEmt4eM%2FsAtor5UVDatJmm6e0ns26tZ6otTVi5LajUVH6eA%2BX5pj%2BZQ8SL95p%2Bd8iHmAfsNW6PdTSyy1dDpHcupND5Z0OAS2XyVexJ8%2FbwDFt4tL5zp9sNd1NmwOxlzlwXB6Q%2B%2FROkk4AyiqscWcGFC6%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 13 Pro Max - 512GB - Sierra Blue (Unlocked) A2643 (GSM),720.0,Sold  3 Oct 2023,19 bids,https://www.ebay.co.uk/itm/305174245615?epid=8049288632&hash=item470dcd70ef%3Ag%3AUUYAAOSwoIZlGgS2&amdata=enc%3AAQAIAAAAwN5vO0bzoCRHKZkeTOi5aekmnqCRjzza83mNcec%2F%2B6qJKXWBDLDa9sBkKwsKFtBlPOHt76%2FaH6aFkVYHY1n6AFY%2F04LvHIvV34WwNLHG7CDPiWvFPMH6XSrZWypv%2BdnJIel%2Be8OWswZvXTw3tvnUo%2Fk8Qni4o%2B%2FteV006YeX5bpAeH17EontkbPitr1egtgemyFJZLKwIo0WM2gkvg6szKxioaas93te94IpNsGsLv6fsHS1UwKoUbjDnj1viur00A%3D%3D%7Ctkp%3ABk9SR5bBu8PeYg&LH_Auction=1
